Question,Answer,Category
What is the capital of France?,The capital of France is Paris.,Geography
"Who wrote the play ""Romeo and Juliet""?","""Romeo and Juliet"" was written by William Shakespeare.",Literature
What is the chemical symbol for gold?,"Gold is represented by the chemical symbol Au (from the Latin ""aurum"").",Science
How many continents are there on Earth?,There are seven continents on Earth.,Geography
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Astronomy
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Art
What is the formula for water?,The chemical formula for water is H2O.,Chemistry
Who is the current President of the United States?,The current President of the United States varies depending on the year.,Politics
What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world.,Geography
What is the national flower of Japan?,The national flower of Japan is the Cherry Blossom.,Culture
"Who is the author of ""To Kill a Mockingbird""?","""To Kill a Mockingbird"" was written by Harper Lee.",Literature
What is the chemical formula for oxygen?,The chemical formula for oxygen is O2.,Science
Who founded Microsoft Corporation?,Microsoft Corporation was founded by Bill Gates.,Technology
What is the largest mammal in the world?,The largest mammal in the world is the Blue Whale.,Zoology
What is the currency of Japan?,The currency of Japan is the Japanese Yen.,Currency
"Who painted ""Starry Night""?","""Starry Night"" was painted by Vincent van Gogh.",Art
What is the largest desert in the world?,The Sahara Desert is the largest desert in the world.,Geography
"Who wrote the ""Declaration of Independence""?","The ""Declaration of Independence"" was written by Thomas Jefferson.",History
What is the main component of Earth's atmosphere?,The main component of Earth's atmosphere is nitrogen.,Science
What is the boiling point of water in Fahrenheit?,The boiling point of water in Fahrenheit is 212°F.,Chemistry
Who discovered the theory of relativity?,The theory of relativity was discovered by Albert Einstein.,Physics
What is the smallest prime number?,The smallest prime number is 2.,Mathematics
"Who directed the movie ""Titanic""?","The movie ""Titanic"" was directed by James Cameron.",Film
What is the chemical symbol for carbon?,The chemical symbol for carbon is C.,Chemistry
"Who wrote ""1984""?","""1984"" was written by George Orwell.",Literature
What is the chemical formula for hydrogen?,The chemical formula for hydrogen is H.,Chemistry
"Who painted ""The Persistence of Memory""?","""The Persistence of Memory"" was painted by Salvador Dali.",Art
What is the largest river in the world?,The largest river in the world is the Amazon River.,Geography
Who was the first woman to fly solo across the Atlantic?,The first woman to fly solo across the Atlantic was Amelia Earhart.,History
What is the freezing point of water in Celsius?,The freezing point of water in Celsius is 0°C.,Chemistry
Who founded Facebook?,Facebook was founded by Mark Zuckerberg.,Technology
What is the national bird of the United States?,The national bird of the United States is the Bald Eagle.,Wildlife
"Who wrote ""The Catcher in the Rye""?","""The Catcher in the Rye"" was written by J.D. Salinger.",Literature
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,Geography
Who was the first person to set foot on the Moon?,The first person to set foot on the Moon was Neil Armstrong.,Space Exploration
What is the square root of 16?,The square root of 16 is 4.,Mathematics
"Who directed the movie ""Jurassic Park""?","The movie ""Jurassic Park"" was directed by Steven Spielberg.",Film
What is the atomic number of oxygen?,The atomic number of oxygen is 8.,Chemistry
"Who wrote ""The Great Gatsby""?","""The Great Gatsby"" was written by F. Scott Fitzgerald.",Literature
What is the tallest tree in the world?,"The tallest tree in the world is Hyperion, a Coast Redwood.",Botany
What is the national sport of Canada?,The national sport of Canada is Ice Hockey.,Sports
"Who painted the ""Mona Lisa""?","The ""Mona Lisa"" was painted by Leonardo da Vinci.",Art
What is the largest desert in North America?,The largest desert in North America is the Sonoran Desert.,Geography
Who was the first President of the United States?,The first President of the United States was George Washington.,History
What is the chemical formula for methane?,The chemical formula for methane is CH4.,Chemistry
